"seqnames","start","end","width","strand","Conc","Conc_KO","Conc_WT","Fold","p.value","FDR"
"19",50329152,50329552,401,"*",5.61860519010382,3.12989048713479,6.48399754783386,-3.35410706069907,4.52647562821887e-12,1.08793841724241e-07
"19",8832559,8832959,401,"*",5.74351083456261,2.86833048439435,6.64168324816376,-3.77335276376941,9.05069047154119e-11,1.08766672741746e-06
"7",4641740,4642140,401,"*",5.04098821858673,2.31013554908373,5.92801670972482,-3.61788116064109,6.75360346314799e-09,5.41076197455873e-05
"12",4031202,4031602,401,"*",5.53122646116563,3.19659229517674,6.38062827041389,-3.18403597523715,1.1110115249122e-08,6.67579050031617e-05
"19",7069306,7069706,401,"*",5.34788014900411,3.1538195449686,6.18094390399103,-3.02712435902242,1.44243892325543e-08,6.93380390408885e-05
"7",98617119,98617519,401,"*",4.86391306400722,1.98635570274569,5.76225915967323,-3.77590345692754,2.56160240969561e-08,0.000102613523195057
"3",197554721,197555121,401,"*",4.88648463684201,2.29928384836111,5.76115706337272,-3.46187321501161,4.49497161824946e-08,0.00014511191396876
"7",98628982,98629382,401,"*",4.83440537311105,1.4985037472567,5.76113650487435,-4.26263275761764,4.83002001976316e-08,0.00014511191396876
"7",98771803,98772203,401,"*",4.97058542022739,2.37137671742441,5.84634269874137,-3.47496598131695,1.75035847506698e-07,0.000467442954980388
"19",2950582,2950982,401,"*",4.92960985792189,1.59690629765304,5.85617418294401,-4.25926788529097,2.20848604486082e-07,0.000530809620882299
"19",2944862,2945262,401,"*",4.48121223702563,0,5.47101442350414,-5.47101442350414,6.9668413279014e-07,0.00152225483014645
"19",8592335,8592735,401,"*",5.07715948686162,3.21460627594152,5.86376489320378,-2.64915861726226,1.90574017152227e-06,0.00381703875187815
"7",98626403,98626803,401,"*",4.4498880488193,1.66509349884204,5.34122273066917,-3.67612923182713,2.25026831469917e-06,0.00416039991875343
"19",2841157,2841557,401,"*",4.89565886390474,2.52761629668329,5.74868978409744,-3.22107348741415,4.76184380075781e-06,0.00806293878479488
"8",142726902,142727302,401,"*",5.12878367450526,3.54465663729369,5.86558211789591,-2.32092548060222,5.03199840948297e-06,0.00806293878479488
"19",45645653,45646053,401,"*",4.38237626495142,2.13502527244709,5.22184375161636,-3.08681847916927,6.52212804827e-06,0.0097974592275106
"19",7098942,7099342,401,"*",5.36040276831204,3.93501342231582,6.06322086253149,-2.12820744021567,1.3214107769225e-05,0.0186824164843131
