"seqnames","start","end","width","strand","Conc","Conc_PAZ","Conc_WT","Fold","p.value","FDR"
"1",44500940,44501340,401,"*",6.42091216040245,7.24775666408149,4.27657396089873,2.97118270318276,4.32069108595401e-11,1.70252511550932e-06
"3",37860398,37860798,401,"*",6.45370098499254,7.17567764577674,4.94143257921402,2.23424506656272,2.54189248841584e-10,4.22662408065616e-06
"6",98039864,98040264,401,"*",6.94088145070105,7.61209032423527,5.64608358751559,1.96600673671968,3.8009863615988e-10,4.22662408065616e-06
"2",5409880,5410280,401,"*",6.73040679784769,7.41665225854227,5.3753133861842,2.04133887235808,4.90185855522878e-10,4.22662408065616e-06
"13",112204893,112205293,401,"*",6.25765304671103,6.97876720946462,4.74943592932798,2.22933128013664,7.06839089452359e-10,4.22662408065616e-06
"15",87736824,87737224,401,"*",5.27605111391271,6.13034710888415,2.8961582619239,3.23418884696026,7.09323611867344e-10,4.22662408065616e-06
"10",91633019,91633419,401,"*",5.77604457017015,6.54925285504547,3.9948073635648,2.55444549148067,7.72301141444827e-10,4.22662408065616e-06
"1",182029649,182030049,401,"*",6.89900830375809,7.56521302404987,5.62359623032301,1.94161679372686,8.58110665040334e-10,4.22662408065616e-06
"5",179060119,179060519,401,"*",5.86179545580808,6.64866476758615,3.99758566043103,2.65107910715512,1.47293251799183e-09,5.80826811068472e-06
"1",43008651,43009051,401,"*",7.49756515074337,8.15857206298197,6.2419473830072,1.91662467997477,1.58134576954835e-09,5.80826811068472e-06
"12",4293788,4294188,401,"*",6.10920885950706,6.84290327724517,4.54049190103825,2.30241137620692,1.62143308338067e-09,5.80826811068472e-06
"7",1669738,1670138,401,"*",6.18191107369917,6.90788721073832,4.65067421398233,2.257212996756,1.98549407885491e-09,5.84012004862817e-06
"3",126267354,126267754,401,"*",6.48132618174063,7.17128334099971,5.1108530461571,2.06043029484261,2.03127202813078e-09,5.84012004862817e-06
"1",30718211,30718611,401,"*",7.96851780462177,8.63043813254776,6.70944631622772,1.92099181632003,2.18685115165958e-09,5.84012004862817e-06
"5",141680817,141681217,401,"*",6.04994572525395,6.7785454993437,4.50609976793209,2.27244573141161,2.22317025503559e-09,5.84012004862817e-06
"3",123961146,123961546,401,"*",6.67856991613282,7.35196356179246,5.37520461598424,1.97675894580822,2.4592303381697e-09,5.85320966318831e-06
"2",26847745,26848145,401,"*",6.99678007583848,7.6535422439114,5.75707621506414,1.89646602884726,2.60932487407247e-09,5.85320966318831e-06
"3",160162433,160162833,401,"*",6.40003079234106,7.08023715459362,5.06953314888703,2.01070400570659,2.67378372595141e-09,5.85320966318831e-06
"14",21094230,21094630,401,"*",6.81213634957311,7.46708360258752,5.57916941698397,1.88791418560354,2.91765643974972e-09,5.98521007375078e-06
"12",111405467,111405867,401,"*",7.21701135441341,7.91331399420789,5.81976535900261,2.09354863520528,3.16918855627434e-09,5.98521007375078e-06
"8",127867249,127867649,401,"*",6.94618674684288,7.62284797955129,5.62988758829665,1.99296039125464,3.18976275375003e-09,5.98521007375078e-06
"12",108802191,108802591,401,"*",6.99029969525997,7.65824920267608,5.70816557766181,1.95008362501427,3.43083282001434e-09,6.14493347453841e-06
"17",71830813,71831213,401,"*",5.88920333942538,6.63214865975768,4.27396468537785,2.35818397437983,3.60693073496707e-09,6.17945646437576e-06
"3",65713105,65713505,401,"*",5.83380664893537,6.5997405661834,4.09457699787507,2.50516356830833,4.23139167940588e-09,6.94723990563789e-06
"8",13133185,13133585,401,"*",6.26294319456984,6.96225590614036,4.85277924249435,2.109476663646,4.65998633663112e-09,7.32707644264019e-06
"12",132908399,132908799,401,"*",7.25558158953533,7.93200565764065,5.94022608543558,1.99177957220507,4.83463576054829e-09,7.32707644264019e-06
"3",120907958,120908358,401,"*",6.81651694057616,7.50342151882063,5.45870724541299,2.04471427340764,5.49891810298557e-09,8.00918245700833e-06
"3",39051888,39052288,401,"*",6.76411757554373,7.41410638756906,5.54935498281206,1.864751404757,5.6912270022392e-09,8.00918245700833e-06
"17",74361626,74362026,401,"*",7.03783969250112,7.67881682528106,5.85543031164758,1.82338651363348,6.1246578759436e-09,8.32193168771317e-06
