peak_chrom	peak_start	peak_end	gene_id	gene_name	distance	location
1	778587	778987				error
1	827311	827711				error
1	904574	904974				error
1	924829	925229				error
1	960496	960896				error
1	966797	967197				error
1	1000044	1000444				error
1	1019357	1019757				error
1	1033038	1033438				error
1	1079539	1079939				error
1	1116026	1116426				error
1	1157996	1158396				error
1	1231926	1232326				error
1	1273792	1274192				error
1	1308293	1308693				error
1	1324652	1325052				error
1	1349324	1349724				error
1	1375160	1375560				error
1	1399263	1399663				error
1	1435424	1435824				error
1	1471437	1471837				error
1	1511802	1512202				error
1	1574583	1574983				error
1	1615295	1615695				error
1	1659003	1659403				error
1	1693000	1693400				error
1	1724317	1724717				error
1	1778175	1778575				error
1	1890945	1891345				error
1	1909023	1909423				error
1	1919219	1919619				error
1	2003660	2004060				error
1	2133222	2133622				error
1	2189497	2189897				error
1	2194754	2195154				error
1	2204930	2205330				error
1	2212525	2212925				error
1	2227655	2228055				error
1	2246403	2246803				error
1	2248248	2248648				error
1	2271285	2271685				error
1	2279202	2279602				error
1	2314580	2314980				error
1	2322209	2322609				error
1	2391515	2391915				error
1	2412450	2412850				error
1	2446409	2446809				error
1	2526243	2526643				error
1	2530210	2530610				error
1	2540759	2541159				error
1	2546030	2546430				error
1	2586362	2586762				error
1	2642920	2643320				error
1	3105502	3105902				error
1	3249681	3250081				error
1	3471525	3471925				error
1	3491355	3491755				error
1	3531277	3531677				error
1	3611438	3611838				error
1	3624671	3625071				error
1	3747180	3747580				error
1	3772345	3772745				error
1	3796296	3796696				error
1	3857070	3857470				error
1	3900456	3900856				error
1	5992384	5992784				error
1	6199496	6199896				error
1	6209067	6209467				error
1	6235803	6236203				error
1	6261000	6261400				error
1	6338727	6339127				error
1	6348508	6348908				error
1	6358933	6359333				error
1	6393437	6393837				error
1	6497422	6497822				error
1	6554398	6554798				error
1	6579714	6580114				error
1	6602712	6603112				error
1	6613403	6613803				error
1	6625080	6625480				error
1	6701720	6702120				error
1	6785010	6785410				error
1	6912161	6912561				error
1	7070231	7070631				error
1	7668527	7668927				error
1	7680229	7680629				error
1	7704517	7704917				error
1	7771090	7771490				error
1	7783852	7784252				error
1	7961397	7961797				error
1	8018705	8019105				error
1	8026131	8026531				error
1	8396643	8397043				error
1	8423794	8424194				error
1	8525852	8526252				error
1	8703287	8703687				error
1	8817662	8818062				error
1	8878641	8879041				error
1	9234705	9235105				error
1	9428826	9429226				error
1	9539196	9539596				error
1	9588466	9588866				error
1	9593404	9593804				error
1	9689300	9689700				error
1	9823933	9824333				error
1	9910332	9910732				error
1	9943147	9943547				error
1	10032718	10033118				error
1	10179087	10179487				error
1	10210131	10210531				error
1	10295601	10296001				error
1	10398716	10399116				error
1	10430397	10430797				error
1	10472275	10472675				error
1	10474825	10475225				error
1	10649585	10649985				error
1	10663657	10664057				error
1	10668116	10668516				error
1	10694578	10694978				error
1	10704386	10704786				error
1	10709118	10709518				error
1	10728683	10729083				error
1	10734894	10735294				error
1	10796440	10796840				error
1	10835861	10836261				error
1	10980156	10980556				error
1	11012286	11012686				error
1	11059926	11060326				error
1	11099508	11099908				error
1	11262495	11262895				error
1	11272888	11273288				error
1	11355596	11355996				error
1	11478773	11479173				error
1	11681073	11681473				error
1	11691302	11691702				error
1	11735876	11736276				error
1	11805855	11806255				error
1	11908171	11908571				error
1	11926272	11926672				error
1	11934503	11934903				error
1	11980058	11980458				error
1	12019170	12019570				error
1	12336319	12336719				error
1	12618091	12618491				error
1	13583724	13584124				error
1	13749103	13749503				error
1	14404851	14405251				error
1	14540044	14540444				error
1	14598280	14598680				error
1	14848659	14849059				error
1	14887921	14888321				error
1	14923976	14924376				error
1	15153504	15153904				error
1	15214492	15214892				error
1	15384325	15384725				error
1	15409642	15410042				error
1	15524210	15524610				error
1	15526489	15526889				error
1	15603344	15603744				error
1	15617197	15617597				error
1	15834927	15835327				error
1	15847458	15847858				error
1	15886205	15886605				error
1	16048576	16048976				error
1	16073320	16073720				error
1	16115951	16116351				error
1	16146297	16146697				error
1	16155833	16156233				error
1	16167719	16168119				error
1	16206521	16206921				error
1	16217336	16217736				error
1	16352292	16352692				error
1	16366948	16367348				error
1	16440457	16440857				error
1	16499077	16499477				error
1	16514257	16514657				error
1	16535085	16535485				error
1	16613568	16613968				error
1	16620957	16621357				error
1	16644540	16644940				error
1	16904908	16905308				error
1	16913878	16914278				error
1	16926661	16927061				error
1	17011693	17012093				error
1	17053993	17054393				error
1	17437806	17438206				error
1	17540643	17541043				error
1	18557620	18558020				error
1	18657608	18658008				error
1	18902544	18902944				error
1	18949928	18950328				error
1	18956561	18956961				error
1	19052403	19052803				error
1	19210193	19210593				error
1	19251464	19251864				error
1	19311958	19312358				error
1	19485459	19485859				error
1	19596746	19597146				error
1	19715578	19715978				error
1	19882175	19882575				error
1	20484232	20484632				error
1	20486142	20486542				error
1	20507944	20508344				error
1	20661347	20661747				error
1	20696649	20697049				error
1	20711318	20711718				error
1	20717716	20718116				error
1	20732062	20732462				error
1	20786688	20787088				error
1	21176775	21177175				error
1	21345327	21345727				error
1	21509051	21509451				error
1	21651730	21652130				error
1	21783228	21783628				error
1	21937236	21937636				error
1	21944338	21944738				error
1	22025183	22025583				error
1	22052483	22052883				error
1	22451705	22452105				error
1	22673466	22673866				error
1	22710523	22710923				error
1	22801650	22802050				error
1	23019224	23019624				error
1	23168595	23168995				error
1	23177596	23177996				error
1	23344268	23344668				error
1	23368219	23368619				error
1	23484247	23484647				error
1	23531065	23531465				error
1	23554796	23555196				error
1	23559272	23559672				error
1	23568096	23568496				error
1	23598475	23598875				error
1	23691582	23691982				error
1	23743189	23743589				error
1	23778189	23778589				error
1	23790930	23791330				error
1	23800589	23800989				error
1	23838408	23838808				error
1	23868059	23868459				error
1	23959488	23959888				error
1	23980190	23980590				error
1	24018749	24019149				error
1	24415473	24415873				error
1	24642921	24643321				error
1	24745047	24745447				error
1	24848037	24848437				error
1	25232427	25232827				error
1	25239838	25240238				error
1	25247498	25247898				error
1	25338228	25338628				error
1	25430628	25431028				error
1	25543455	25543855				error
1	25616383	25616783				error
1	25800009	25800409				error
1	25819821	25820221				error
1	25859246	25859646				error
1	25895418	25895818				error
1	25905656	25906056				error
1	25927411	25927811				error
1	25997977	25998377				error
1	26035730	26036130				error
1	26111543	26111943				error
1	26161706	26162106				error
1	26169563	26169963				error
1	26233904	26234304				error
1	26279698	26280098				error
1	26306451	26306851				error
1	26409632	26410032				error
1	26432036	26432436				error
1	26472707	26473107				error
1	26500618	26501018				error
1	26529654	26530054				error
1	26620317	26620717				error
1	26692861	26693261				error
1	26695493	26695893				error
1	26787836	26788236				error
1	26826440	26826840				error
1	26865049	26865449				error
1	26921459	26921859				error
1	26993576	26993976				error
1	27012789	27013189				error
1	27118941	27119341				error
1	27154869	27155269				error
1	27234312	27234712				error
1	27321972	27322372				error
1	27365548	27365948				error
1	27392308	27392708				error
1	27490047	27490447				error
1	27519298	27519698				error
1	27567131	27567531				error
1	27603893	27604293				error
1	27672158	27672558				error
1	27725592	27725992				error
1	27772934	27773334				error
1	27830611	27831011				error
1	27872330	27872730				error
1	27914512	27914912				error
1	28088501	28088901				error
1	28232746	28233146				error
1	28235877	28236277				error
1	28247114	28247514				error
1	28259219	28259619				error
1	28328776	28329176				error
1	28369620	28370020				error
1	28505723	28506123				error
1	28518194	28518594				error
1	28552799	28553199				error
1	28581697	28582097				error
1	28642906	28643306				error
1	28648507	28648907				error
1	28668636	28669036				error
1	28736613	28737013				error
1	28804117	28804517				error
1	28914287	28914687				error
1	29124509	29124909				error
1	29164504	29164904				error
1	29181814	29182214				error
1	29230766	29231166				error
1	29236231	29236631				error
1	29249196	29249596				error
1	29259673	29260073				error
1	29271748	29272148				error
1	29501525	29501925				error
1	29675516	29675916				error
1	29974351	29974751				error
1	30718211	30718611				error
1	30786570	30786970				error
1	30816200	30816600				error
1	30824328	30824728				error
1	30847443	30847843				error
1	31065557	31065957				error
1	31154768	31155168				error
1	31239419	31239819				error
1	31296659	31297059				error
1	31364583	31364983				error
1	31373527	31373927				error
1	31376773	31377173				error
1	31413997	31414397				error
1	31617966	31618366				error
1	31644815	31645215				error
1	31715378	31715778				error
1	31760885	31761285				error
1	31788762	31789162				error
1	31938249	31938649				error
1	32013475	32013875				error
1	32073039	32073439				error
1	32179630	32180030				error
1	32200437	32200837				error
1	32291890	32292290				error
1	32336041	32336441				error
1	32338221	32338621				error
1	32351227	32351627				error
1	32394465	32394865				error
1	32464731	32465131				error
1	32500566	32500966				error
1	32539411	32539811				error
1	32650888	32651288				error
1	32754163	32754563				error
1	32817306	32817706				error
1	32892832	32893232				error
1	32964568	32964968				error
1	32972947	32973347				error
1	33036774	33037174				error
1	33080963	33081363				error
1	33127153	33127553				error
1	33180859	33181259				error
1	33256090	33256490				error
1	33342272	33342672				error
1	33349772	33350172				error
1	33363921	33364321				error
1	33430885	33431285				error
1	33472328	33472728				error
1	34612374	34612774				error
1	34655863	34656263				error
1	34842894	34843294				error
1	34844247	34844647				error
1	34859549	34859949				error
1	34929334	34929734				error
1	35031651	35032051				error
1	35079197	35079597				error
1	35193108	35193508				error
1	35268512	35268912				error
1	35557375	35557775				error
1	35641403	35641803				error
1	35707743	35708143				error
1	35769752	35770152				error
1	35807965	35808365				error
1	35854905	35855305				error
1	35882957	35883357				error
1	35885959	35886359				error
1	35930911	35931311				error
1	36088770	36089170				error
1	36149357	36149757				error
1	36150719	36151119				error
1	36155816	36156216				error
1	36187956	36188356				error
1	36224077	36224477				error
1	36306795	36307195				error
1	36323444	36323844				error
1	36366250	36366650				error
1	36385844	36386244				error
1	36397672	36398072				error
1	36400979	36401379				error
1	36450337	36450737				error
1	36464293	36464693				error
1	37474351	37474751				error
1	37514608	37515008				error
1	37595780	37596180				error
1	37690400	37690800				error
1	37692180	37692580				error
1	37793904	37794304				error
1	37808185	37808585				error
1	37859299	37859699				error
1	37931641	37932041				error
1	37989915	37990315				error
1	38000451	38000851				error
1	38005316	38005716				error
1	38012459	38012859				error
1	38046748	38047148				error
1	38073641	38074041				error
1	38486065	38486465				error
1	38859635	38860035				error
1	38873189	38873589				error
1	38931401	38931801				error
1	38991000	38991400				error
1	39026190	39026590				error
1	39098581	39098981				error
1	39102654	39103054				error
1	39107403	39107803				error
1	39408681	39409081				error
1	39491430	39491830				error
1	39576697	39577097				error
1	39691315	39691715				error
1	39701682	39702082				error
1	39738679	39739079				error
1	39883250	39883650				error
1	39886916	39887316				error
1	39898394	39898794				error
1	39901682	39902082				error
1	39954924	39955324				error
1	40040371	40040771				error
1	40161094	40161494				error
1	40257928	40258328				error
1	40315223	40315623				error
1	40373471	40373871				error
1	40421324	40421724				error
1	40449927	40450327				error
1	40508531	40508931				error
1	40531445	40531845				error
1	40665569	40665969				error
1	40691693	40692093				error
1	40708959	40709359				error
1	40782456	40782856				error
1	40783562	40783962				error
1	40862207	40862607				error
1	40979610	40980010				error
1	41241837	41242237				error
1	41361079	41361479				error
1	41486470	41486870				error
1	41496175	41496575				error
1	41662264	41662664				error
1	42035782	42036182				error
1	42335019	42335419				error
1	42380476	42380876				error
1	42462963	42463363				error
1	42658004	42658404				error
1	42682060	42682460				error
1	42766964	42767364				error
1	42817069	42817469				error
1	42846329	42846729				error
1	42924254	42924654				error
1	42958830	42959230				error
1	42978794	42979194				error
1	43008651	43009051				error
1	43147626	43148026				error
1	43172275	43172675				error
1	43206776	43207176				error
1	43348929	43349329				error
1	43358659	43359059				error
1	43367924	43368324				error
1	43389757	43390157				error
1	43436346	43436746				error
1	43530704	43531104				error
1	43545680	43546080				error
1	43649955	43650355				error
1	43707362	43707762				error
1	43766743	43767143				error
1	43936415	43936815				error
1	43946622	43947022				error
1	43969703	43970103				error
1	43974714	43975114				error
1	43991473	43991873				error
1	44030022	44030422				error
1	44213217	44213617				error
1	44355106	44355506				error
1	44405036	44405436				error
1	44417399	44417799				error
1	44485151	44485551				error
1	44500940	44501340				error
1	44507621	44508021				error
1	44524154	44524554				error
1	44542925	44543325				error
1	44632120	44632520				error
1	44674126	44674526				error
1	44739545	44739945				error
1	44775394	44775794				error
1	44799867	44800267				error
1	44819664	44820064				error
1	44843165	44843565				error
1	44986381	44986781				error
1	45011990	45012390				error
1	45206258	45206658				error
1	45303562	45303962				error
1	45339967	45340367				error
1	45491003	45491403				error
1	45500007	45500407				error
1	45521704	45522104				error
1	45550704	45551104				error
1	45583659	45584059				error
1	45686528	45686928				error
1	45750559	45750959				error
1	45803350	45803750				error
1	46132911	46133311				error
1	46198236	46198636				error
1	46221717	46222117				error
1	46247299	46247699				error
1	46303271	46303671				error
1	46340586	46340986				error
1	46532934	46533334				error
1	46604087	46604487				error
1	46668129	46668529				error
1	46719054	46719454				error
1	47179110	47179510				error
1	47314125	47314525				error
1	47333753	47334153				error
1	47437621	47438021				error
1	47533218	47533618				error
1	47997463	47997863				error
1	48472108	48472508				error
1	48776726	48777126				error
1	50251733	50252133				error
1	50960040	50960440				error
1	50968203	50968603				error
1	51236138	51236538				error
1	51519113	51519513				error
1	51616931	51617331				error
1	51729480	51729880				error
1	51878657	51879057				error
1	51919281	51919681				error
1	51990390	51990790				error
1	52056089	52056489				error
1	52141874	52142274				error
1	52366090	52366490				error
1	52404254	52404654				error
1	52553144	52553544				error
1	52629286	52629686				error
1	52633156	52633556				error
1	52662797	52663197				error
1	52698089	52698489				error
1	52703054	52703454				error
1	52726346	52726746				error
1	52842626	52843026				error
1	53196612	53197012				error
1	53220274	53220674				error
1	53238404	53238804				error
1	53288307	53288707				error
1	53326164	53326564				error
1	53327745	53328145				error
1	53470119	53470519				error
1	53739146	53739546				error
1	53838261	53838661				error
1	53945925	53946325				error
1	54053248	54053648				error
1	54199971	54200371				error
1	54273151	54273551				error
1	54378579	54378979				error
1	54406227	54406627				error
1	54474734	54475134				error
1	54488588	54488988				error
1	54542194	54542594				error
1	54681339	54681739				error
1	54715637	54716037				error
1	54764477	54764877				error
1	54887060	54887460				error
1	54904486	54904886				error
1	55215155	55215555				error
1	56229205	56229605				error
1	56435878	56436278				error
1	56436896	56437296				error
1	56477406	56477806				error
1	56579274	56579674				error
1	56645230	56645630				error
1	57215195	57215595				error
1	57422459	57422859				error
1	57424450	57424850				error
1	57832420	57832820				error
1	57860292	57860692				error
1	57882062	57882462				error
1	58250223	58250623				error
1	58432758	58433158				error
1	58546545	58546945				error
1	58699868	58700268				error
1	58783975	58784375				error
1	58815092	58815492				error
1	59128775	59129175				error
1	59296654	59297054				error
1	59415749	59416149				error
1	59446593	59446993				error
1	59669843	59670243				error
1	59678676	59679076				error
1	59986452	59986852				error
1	61006007	61006407				error
1	61076949	61077349				error
1	61453114	61453514				error
1	61725087	61725487				error
1	62436352	62436752				error
1	62688107	62688507				error
1	62783728	62784128				error
1	63317319	63317719				error
1	63367398	63367798				error
1	63523227	63523627				error
1	63593499	63593899				error
1	63773844	63774244				error
1	64470088	64470488				error
1	64493818	64494218				error
1	64664141	64664541				error
1	64744897	64745297				error
1	64966322	64966722				error
1	65067104	65067504				error
1	65148535	65148935				error
1	65254341	65254741				error
1	65309895	65310295				error
1	65420316	65420716				error
1	65792787	65793187				error
1	65979142	65979542				error
1	65992315	65992715				error
1	66353249	66353649				error
1	66354251	66354651				error
1	66925099	66925499				error
1	66930097	66930497				error
1	67054119	67054519				error
1	67430329	67430729				error
1	67684989	67685389				error
1	67686528	67686928				error
1	67832905	67833305				error
1	67888729	67889129				error
1	68141193	68141593				error
1	68232174	68232574				error
1	68293938	68294338				error
1	68313803	68314203				error
1	68496950	68497350				error
1	70205456	70205856				error
1	70221248	70221648				error
1	70354427	70354827				error
1	70410905	70411305				error
1	71047466	71047866				error
1	71080966	71081366				error
1	72282841	72283241				error
1	72947035	72947435				error
1	74422668	74423068				error
1	74506346	74506746				error
1	74733011	74733411				error
1	75136293	75136693				error
1	75615964	75616364				error
1	75724299	75724699				error
1	75786009	75786409				error
1	76012711	76013111				error
1	76074522	76074922				error
1	76501706	76502106				error
1	77281894	77282294				error
1	77683292	77683692				error
1	77759584	77759984				error
1	77779542	77779942				error
1	77888559	77888959				error
1	77979195	77979595				error
1	78491248	78491648				error
1	79006589	79006989				error
1	81431226	81431626				error
1	81577232	81577632				error
1	81800701	81801101				error
1	81803069	81803469				error
1	81920382	81920782				error
1	82306100	82306500				error
1	82351859	82352259				error
1	83182382	83182782				error
1	83804942	83805342				error
1	83999083	83999483				error
1	84077922	84078322				error
1	84298754	84299154				error
1	84479242	84479642				error
1	84506057	84506457				error
1	84574221	84574621				error
1	84620721	84621121				error
1	84690342	84690742				error
1	85062038	85062438				error
1	85201307	85201707				error
1	85259530	85259930				error
1	85276370	85276770				error
1	85308160	85308560				error
1	85328992	85329392				error
1	85375323	85375723				error
1	85464779	85465179				error
1	85527184	85527584				error
1	85553899	85554299				error
1	85576858	85577258				error
1	85580539	85580939				error
1	85607263	85607663				error
1	85654264	85654664				error
1	85708254	85708654				error
1	86156726	86157126				error
1	86296742	86297142				error
1	86396085	86396485				error
1	86704447	86704847				error
1	86914256	86914656				error
1	87328272	87328672				error
1	87331419	87331819				error
1	88684012	88684412				error
1	88891309	88891709				error
1	88992746	88993146				error
1	89524584	89524984				error
1	89632885	89633285				error
1	89763028	89763428				error
1	89820785	89821185				error
1	89994883	89995283				error
1	90706845	90707245				error
1	90851338	90851738				error
1	91021854	91022254				error
1	91404470	91404870				error
1	91500812	91501212				error
1	91565055	91565455				error
1	91886051	91886451				error
1	92030067	92030467				error
1	92080214	92080614				error
1	92298700	92299100				error
1	92785039	92785439				error
1	92831908	92832308				error
1	92961367	92961767				error
1	93078977	93079377				error
1	93180360	93180760				error
1	93345604	93346004				error
1	93447936	93448336				error
1	93636163	93636563				error
1	93680818	93681218				error
1	93846205	93846605				error
1	93847277	93847677				error
1	93879024	93879424				error
1	93909378	93909778				error
1	94012765	94013165				error
1	94045598	94045998				error
