.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
KI2-ATAC_R1_001	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
KI2-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
KI3-ATAC_R1_001	1	1	0.5	1	0.25	1	1	1	1	1	0.25
KI3-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
KI4-ATAC_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
KI4-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
KO1-ATAC_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
KO1-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
KO2-ATAC_R1_001	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
KO2-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
KO3-ATAC_R1_001	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
KO3-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
PAZ1-ATAC_R1_001	1	1	0.5	1	0.25	1	1	1	1	1	0.25
PAZ1-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
PAZ2-ATAC_R1_001	1	1	0.5	1	0.25	1	1	1	1	1	0.25
PAZ2-ATAC_R2_001	1	1	0.25	1	0.25	1	1	1	1	0.25	0.25
PAZ3-ATAC_R1_001	1	0.5	0.25	1	0.25	1	1	1	1	1	0.25
PAZ3-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.5	0.25
WT1-ATAC_R1_001	1	1	0.5	1	0.25	0.5	1	1	1	1	0.25
WT1-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
WT2-ATAC_R1_001	1	1	0.25	1	0.25	0.5	1	1	1	1	0.25
WT2-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
WT3-ATAC_R1_001	1	1	0.25	1	0.25	1	1	1	1	1	0.25
WT3-ATAC_R2_001	1	1	0.25	1	0.25	0.5	1	1	1	0.25	0.25
