Sample	picard_mark_duplicates-PERCENT_DUPLICATION	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
KI2-ATAC	12.620899999999999						
KI2-ATAC_R1_001		18.990093533679897	54.0	150.0	150	27.27272727272727	62.592479999999995
KI2-ATAC_R2_001		21.303293626414714	55.0	150.0	150	36.36363636363637	62.592479999999995
KI3-ATAC	12.1015						
KI3-ATAC_R1_001		17.424388889045048	53.0	150.0	150	18.181818181818183	70.938655
KI3-ATAC_R2_001		18.806794260660396	54.0	150.0	150	36.36363636363637	70.938655
KI4-ATAC	14.480100000000002						
KI4-ATAC_R1_001		23.311523923797765	52.0	150.0	150	18.181818181818183	216.491302
KI4-ATAC_R2_001		24.86169387280397	53.0	150.0	150	36.36363636363637	216.491302
KO1-ATAC	8.3589						
KO1-ATAC_R1_001		15.010380427650972	56.0	150.0	150	18.181818181818183	74.164296
KO1-ATAC_R2_001		15.693892455355169	55.0	150.0	150	27.27272727272727	74.164296
KO2-ATAC	12.8421						
KO2-ATAC_R1_001		21.08803539444196	54.0	150.0	150	27.27272727272727	64.210116
KO2-ATAC_R2_001		23.16640540365809	55.0	150.0	150	36.36363636363637	64.210116
KO3-ATAC	12.556500000000002						
KO3-ATAC_R1_001		19.089901650247228	53.0	150.0	150	27.27272727272727	58.5091
KO3-ATAC_R2_001		21.506108673924544	54.0	150.0	150	36.36363636363637	58.5091
PAZ1-ATAC	13.976700000000001						
PAZ1-ATAC_R1_001		23.84589510365754	55.0	150.0	150	18.181818181818183	71.97311599999999
PAZ1-ATAC_R2_001		25.49213631518448	56.0	150.0	150	36.36363636363637	71.97311599999999
PAZ2-ATAC	12.7949						
PAZ2-ATAC_R1_001		21.858799852241035	53.0	150.0	150	18.181818181818183	59.596486
PAZ2-ATAC_R2_001		23.1832593079599	54.0	150.0	150	36.36363636363637	59.596486
PAZ3-ATAC	11.7821						
PAZ3-ATAC_R1_001		22.492425257423648	56.0	150.0	150	27.27272727272727	70.81533499999999
PAZ3-ATAC_R2_001		22.951297992041944	57.0	150.0	150	27.27272727272727	70.81533499999999
WT1-ATAC	11.3724						
WT1-ATAC_R1_001		14.45854730893332	53.0	150.0	150	18.181818181818183	55.156192
WT1-ATAC_R2_001		15.617462772183927	53.0	150.0	150	36.36363636363637	55.156192
WT2-ATAC	13.0375						
WT2-ATAC_R1_001		18.83159019705758	52.0	150.0	150	27.27272727272727	83.645741
WT2-ATAC_R2_001		21.157947715101542	53.0	150.0	150	36.36363636363637	83.645741
WT3-ATAC	12.5222						
WT3-ATAC_R1_001		20.93225140035321	53.0	150.0	150	27.27272727272727	65.624194
WT3-ATAC_R2_001		23.081126419787367	54.0	150.0	150	36.36363636363637	65.624194
