Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
KI2-ATAC	KI2-ATAC	1386679.0	17272313.0	0.0	0.0	481095.0	2026877.0	1375827.0	0.126209	188733974.0
KI3-ATAC	KI3-ATAC	1553843.0	20768462.0	0.0	0.0	453188.0	2380711.0	1431113.0	0.121015	190390225.0
KI4-ATAC	KI4-ATAC	4850609.0	64111921.0	0.0	0.0	1682904.0	8793218.0	4690576.0	0.144801	410275969.0
KO1-ATAC	KO1-ATAC	1344848.0	15449622.0	0.0	0.0	300393.0	1197432.0	797885.0	0.083589	263739549.0
KO2-ATAC	KO2-ATAC	1600874.0	20457770.0	0.0	0.0	577444.0	2441268.0	1357362.0	0.128421	161863163.0
KO3-ATAC	KO3-ATAC	1471416.0	21132861.0	0.0	0.0	487468.0	2502198.0	1509236.0	0.125565	187310140.0
PAZ1-ATAC	PAZ1-ATAC	1695353.0	20800570.0	0.0	0.0	688572.0	2681418.0	1384312.0	0.139767	138773236.0
PAZ2-ATAC	PAZ2-ATAC	1264018.0	20113164.0	0.0	0.0	435765.0	2436444.0	1172781.0	0.127949	135557461.0
PAZ3-ATAC	PAZ3-ATAC	1332113.0	11604746.0	0.0	0.0	471964.0	1209775.0	555256.0	0.117821	89547181.0
WT1-ATAC	WT1-ATAC	1058701.0	16838710.0	0.0	0.0	257853.0	1846242.0	1178136.0	0.113724	178285734.0
WT2-ATAC	WT2-ATAC	1938171.0	27012292.0	0.0	0.0	585989.0	3355065.0	2004819.0	0.130375	223164613.0
WT3-ATAC	WT3-ATAC	1611175.0	20639719.0	0.0	0.0	576501.0	2397183.0	1424673.0	0.125222	183366797.0
