Sample	Top overrepresented sequence
KI2-ATAC_R1_001	0.0
KI2-ATAC_R2_001	3.118925787890175
KI3-ATAC_R1_001	0.0
KI3-ATAC_R2_001	2.0350414030263186
KI4-ATAC_R1_001	0.0
KI4-ATAC_R2_001	1.9881893453622446
KO1-ATAC_R1_001	0.0
KO1-ATAC_R2_001	0.8306948669748041
KO2-ATAC_R1_001	0.0
KO2-ATAC_R2_001	2.8776898643198217
KO3-ATAC_R1_001	0.0
KO3-ATAC_R2_001	3.0909055172614175
PAZ1-ATAC_R1_001	0.0
PAZ1-ATAC_R2_001	2.631464504051763
PAZ2-ATAC_R1_001	0.0
PAZ2-ATAC_R2_001	1.2873292562920573
PAZ3-ATAC_R1_001	0.0
PAZ3-ATAC_R2_001	0.8091128849422233
WT1-ATAC_R1_001	0.0
WT1-ATAC_R2_001	1.4538567129507418
WT2-ATAC_R1_001	0.0
WT2-ATAC_R2_001	2.8184985533214415
WT3-ATAC_R1_001	0.0
WT3-ATAC_R2_001	3.2683525225467913
